owner,source,kind,language,url,status,classification,finalUrl,redirected,mime,error
391be58b-9ce9-4205-8c73-44d3a7893e18:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ING.pdf,false,application/pdf,
391be58b-9ce9-4205-8c73-44d3a7893e18:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_12_ARBITRAJE_ESG_ESP.pdf,false,application/pdf,
b1b99ae9-7804-450f-ada9-ac42e3a74c8a:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_11_03_EMISIONES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_03_EMISIONES_ESG_ESP.pdf,false,application/pdf,
b1b99ae9-7804-450f-ada9-ac42e3a74c8a:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_11_03_EMISIONES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_11_03_EMISIONES_ESG_ESP.pdf,false,application/pdf,
16c8246c-7abe-4e87-b691-2eb6256e9f2f:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_10_26_ANTI_CORRUPTION_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_26_ANTI_CORRUPTION_ESG_ESP.pdf,false,application/pdf,
16c8246c-7abe-4e87-b691-2eb6256e9f2f:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_10_26_ANTI_CORRUPTION_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_26_ANTI_CORRUPTION_ESG_ESP.pdf,false,application/pdf,
7a0dbb66-77c4-41ba-aeaa-3d959bee9ce8:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_10_19_STRESS_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_19_STRESS_ESG_ESP.pdf,false,application/pdf,
7a0dbb66-77c4-41ba-aeaa-3d959bee9ce8:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_10_19_STRESS_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_19_STRESS_ESG_ESP.pdf,false,application/pdf,
722c7047-b361-4e55-86d1-7ae3cbc94a81:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_10_14_REGULACION_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_14_REGULACION_ESG_ESP.pdf,false,application/pdf,
722c7047-b361-4e55-86d1-7ae3cbc94a81:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_10_14_REGULACION_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_14_REGULACION_ESG_ESP.pdf,false,application/pdf,
70a6241f-048c-45e1-b058-1a7bfb1b902f:es,project-public,public-source-cta,es,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,false,application/pdf,
70a6241f-048c-45e1-b058-1a7bfb1b902f:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_10_12_MINERIA_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_12_MINERIA_ESG_ESP.pdf,false,application/pdf,
70a6241f-048c-45e1-b058-1a7bfb1b902f:en,project-public,public-source-cta,en,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,206,correcto,https://www.vonwobeser.com/images/PDF_news/2021/21_10_12_MINERIA_ESG_ING.pdf,false,application/pdf,
70a6241f-048c-45e1-b058-1a7bfb1b902f:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_10_12_MINERIA_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_12_MINERIA_ESG_ESP.pdf,false,application/pdf,
bc778088-7cc0-4118-8780-2e2067fd5d0c:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/21_10_08_IMPLICACIONES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_08_IMPLICACIONES_ESG_ESP.pdf,false,application/pdf,
bc778088-7cc0-4118-8780-2e2067fd5d0c:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/21_10_08_IMPLICACIONES_ESG_ESP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/21_10_08_IMPLICACIONES_ESG_ESP.pdf,false,application/pdf,
2e20d19c-2537-4902-8093-b4020bf35db6:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/20-Mexico-Overview.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/20-Mexico-Overview.pdf,false,application/pdf,
2e20d19c-2537-4902-8093-b4020bf35db6:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/20-Mexico-Overview.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/20-Mexico-Overview.pdf,false,application/pdf,
e29beee6-60e0-4585-b11b-aa08636f4e60:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/25-Mexico-QA.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/25-Mexico-QA.pdf,false,application/pdf,
e29beee6-60e0-4585-b11b-aa08636f4e60:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/25-Mexico-QA.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/25-Mexico-QA.pdf,false,application/pdf,
3b2c0a08-904f-4d48-846b-516bb5a41975:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/14-_-Indemnity-Escrows-and--Other-Payment-Guarantees.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/14-_-Indemnity-Escrows-and--Other-Payment-Guarantees.pdf,false,application/pdf,
3b2c0a08-904f-4d48-846b-516bb5a41975:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/14-_-Indemnity-Escrows-and--Other-Payment-Guarantees.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/14-_-Indemnity-Escrows-and--Other-Payment-Guarantees.pdf,false,application/pdf,
267aa63a-5bf5-4881-bd68-5348e17001be:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2021/035_MEXICO-LP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/035_MEXICO-LP.pdf,false,application/pdf,
267aa63a-5bf5-4881-bd68-5348e17001be:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2021/035_MEXICO-LP.pdf,206,correcto,http://localhost:5050/images/PDF_news/2021/035_MEXICO-LP.pdf,false,application/pdf,
f72097b6-257a-425e-aad9-1ca4e553b45e:es,project-public,public-content-link,es,http://localhost:5050/images/PDF_news/2020_2/IBA---The-next-wave-of-ISDS-ca-ses-could-be-powered-by-recent-policy-changes-in-the-renewable-energy-sector-in-Mexico.pdf,206,correcto,http://localhost:5050/images/PDF_news/2020_2/IBA---The-next-wave-of-ISDS-ca-ses-could-be-powered-by-recent-policy-changes-in-the-renewable-energy-sector-in-Mexico.pdf,false,application/pdf,
f72097b6-257a-425e-aad9-1ca4e553b45e:en,project-public,public-content-link,en,http://localhost:5050/images/PDF_news/2020_2/IBA---The-next-wave-of-ISDS-ca-ses-could-be-powered-by-recent-policy-changes-in-the-renewable-energy-sector-in-Mexico.pdf,206,correcto,http://localhost:5050/images/PDF_news/2020_2/IBA---The-next-wave-of-ISDS-ca-ses-could-be-powered-by-recent-policy-changes-in-the-renewable-energy-sector-in-Mexico.pdf,false,application/pdf,
